method,topology,seed,distance,emit_count,emit_share,cdf_emit_share
snn_baseline,er,121,0,5,0.13157894736842105,0.13157894736842105
snn_baseline,er,121,1,33,0.868421052631579,1.0
snn_baseline,er,121,2,0,0.0,1.0
snn_baseline,er,121,3,0,0.0,1.0
snn_full,er,121,0,3,0.07692307692307693,0.07692307692307693
snn_full,er,121,1,36,0.9230769230769231,1.0
snn_full,er,121,2,0,0.0,1.0
snn_full,er,121,3,0,0.0,1.0
triggered_te,er,121,0,5,0.013368983957219251,0.013368983957219251
triggered_te,er,121,1,59,0.15775401069518716,0.1711229946524064
triggered_te,er,121,2,190,0.5080213903743316,0.679144385026738
triggered_te,er,121,3,120,0.32085561497326204,1.0
ospf_te_t5,er,121,0,4,0.009523809523809525,0.009523809523809525
ospf_te_t5,er,121,1,52,0.12380952380952381,0.13333333333333333
ospf_te_t5,er,121,2,211,0.5023809523809524,0.6357142857142857
ospf_te_t5,er,121,3,153,0.36428571428571427,1.0
ospf_te_t1,er,121,0,21,0.01,0.01
ospf_te_t1,er,121,1,252,0.12,0.13
ospf_te_t1,er,121,2,1071,0.51,0.64
ospf_te_t1,er,121,3,756,0.36,1.0
snn_baseline,er,122,0,5,0.14285714285714285,0.14285714285714285
snn_baseline,er,122,1,30,0.8571428571428571,1.0
snn_baseline,er,122,2,0,0.0,1.0
snn_baseline,er,122,3,0,0.0,1.0
snn_baseline,er,122,4,0,0.0,1.0
snn_full,er,122,0,3,0.08333333333333333,0.08333333333333333
snn_full,er,122,1,33,0.9166666666666666,1.0
snn_full,er,122,2,0,0.0,1.0
snn_full,er,122,3,0,0.0,1.0
snn_full,er,122,4,0,0.0,1.0
triggered_te,er,122,0,6,0.013333333333333334,0.013333333333333334
triggered_te,er,122,1,66,0.14666666666666667,0.16
triggered_te,er,122,2,204,0.4533333333333333,0.6133333333333333
triggered_te,er,122,3,136,0.3022222222222222,0.9155555555555556
triggered_te,er,122,4,38,0.08444444444444445,1.0
ospf_te_t5,er,122,0,4,0.009523809523809525,0.009523809523809525
ospf_te_t5,er,122,1,49,0.11666666666666667,0.1261904761904762
ospf_te_t5,er,122,2,170,0.40476190476190477,0.530952380952381
ospf_te_t5,er,122,3,151,0.3595238095238095,0.8904761904761904
ospf_te_t5,er,122,4,46,0.10952380952380952,1.0
ospf_te_t1,er,122,0,21,0.01,0.01
ospf_te_t1,er,122,1,231,0.11,0.12
ospf_te_t1,er,122,2,861,0.41,0.53
ospf_te_t1,er,122,3,756,0.36,0.89
ospf_te_t1,er,122,4,231,0.11,1.0
snn_baseline,er,123,0,5,0.11627906976744186,0.11627906976744186
snn_baseline,er,123,1,38,0.8837209302325582,1.0
snn_baseline,er,123,2,0,0.0,1.0
snn_baseline,er,123,3,0,0.0,1.0
snn_baseline,er,123,4,0,0.0,1.0
snn_full,er,123,0,3,0.07692307692307693,0.07692307692307693
snn_full,er,123,1,36,0.9230769230769231,1.0
snn_full,er,123,2,0,0.0,1.0
snn_full,er,123,3,0,0.0,1.0
snn_full,er,123,4,0,0.0,1.0
triggered_te,er,123,0,6,0.016129032258064516,0.016129032258064516
triggered_te,er,123,1,55,0.1478494623655914,0.1639784946236559
triggered_te,er,123,2,194,0.521505376344086,0.6854838709677419
triggered_te,er,123,3,110,0.2956989247311828,0.9811827956989247
triggered_te,er,123,4,7,0.01881720430107527,1.0
ospf_te_t5,er,123,0,5,0.011904761904761904,0.011904761904761904
ospf_te_t5,er,123,1,52,0.12380952380952381,0.1357142857142857
ospf_te_t5,er,123,2,219,0.5214285714285715,0.6571428571428571
ospf_te_t5,er,123,3,136,0.3238095238095238,0.9809523809523809
ospf_te_t5,er,123,4,8,0.01904761904761905,1.0
ospf_te_t1,er,123,0,21,0.01,0.01
ospf_te_t1,er,123,1,252,0.12,0.13
ospf_te_t1,er,123,2,1113,0.53,0.66
ospf_te_t1,er,123,3,672,0.32,0.98
ospf_te_t1,er,123,4,42,0.02,1.0
snn_baseline,er,124,0,5,0.07692307692307693,0.07692307692307693
snn_baseline,er,124,1,60,0.9230769230769231,1.0
snn_baseline,er,124,2,0,0.0,1.0
snn_baseline,er,124,3,0,0.0,1.0
snn_baseline,er,124,4,0,0.0,1.0
snn_full,er,124,0,3,0.058823529411764705,0.058823529411764705
snn_full,er,124,1,48,0.9411764705882353,1.0
snn_full,er,124,2,0,0.0,1.0
snn_full,er,124,3,0,0.0,1.0
snn_full,er,124,4,0,0.0,1.0
triggered_te,er,124,0,6,0.015384615384615385,0.015384615384615385
triggered_te,er,124,1,74,0.18974358974358974,0.20512820512820512
triggered_te,er,124,2,206,0.5282051282051282,0.7333333333333333
triggered_te,er,124,3,100,0.2564102564102564,0.9897435897435898
triggered_te,er,124,4,4,0.010256410256410256,1.0
ospf_te_t5,er,124,0,5,0.011904761904761904,0.011904761904761904
ospf_te_t5,er,124,1,68,0.1619047619047619,0.1738095238095238
ospf_te_t5,er,124,2,220,0.5238095238095238,0.6976190476190476
ospf_te_t5,er,124,3,123,0.29285714285714287,0.9904761904761905
ospf_te_t5,er,124,4,4,0.009523809523809525,1.0
ospf_te_t1,er,124,0,21,0.01,0.01
ospf_te_t1,er,124,1,336,0.16,0.17
ospf_te_t1,er,124,2,1113,0.53,0.7
ospf_te_t1,er,124,3,609,0.29,0.99
ospf_te_t1,er,124,4,21,0.01,1.0
snn_baseline,er,125,0,5,0.11904761904761904,0.11904761904761904
snn_baseline,er,125,1,37,0.8809523809523809,1.0
snn_baseline,er,125,2,0,0.0,1.0
snn_baseline,er,125,3,0,0.0,1.0
snn_baseline,er,125,4,0,0.0,1.0
snn_full,er,125,0,3,0.07692307692307693,0.07692307692307693
snn_full,er,125,1,36,0.9230769230769231,1.0
snn_full,er,125,2,0,0.0,1.0
snn_full,er,125,3,0,0.0,1.0
snn_full,er,125,4,0,0.0,1.0
triggered_te,er,125,0,6,0.016042780748663103,0.016042780748663103
triggered_te,er,125,1,58,0.15508021390374332,0.1711229946524064
triggered_te,er,125,2,166,0.44385026737967914,0.6149732620320856
triggered_te,er,125,3,132,0.35294117647058826,0.9679144385026738
triggered_te,er,125,4,12,0.03208556149732621,1.0
ospf_te_t5,er,125,0,5,0.011904761904761904,0.011904761904761904
ospf_te_t5,er,125,1,49,0.11666666666666667,0.12857142857142856
ospf_te_t5,er,125,2,188,0.44761904761904764,0.5761904761904761
ospf_te_t5,er,125,3,165,0.39285714285714285,0.969047619047619
ospf_te_t5,er,125,4,13,0.030952380952380953,1.0
ospf_te_t1,er,125,0,21,0.01,0.01
ospf_te_t1,er,125,1,252,0.12,0.13
ospf_te_t1,er,125,2,945,0.45,0.58
ospf_te_t1,er,125,3,819,0.39,0.97
ospf_te_t1,er,125,4,63,0.03,1.0
