time_s,selected_path,queue_a_norm,queue_b_norm,accum,memory_a,memory_b,burst_active
0.200000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.300000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.400000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.500000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.600000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.700000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.800000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.900000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.100000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.200000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.300000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.400000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.500000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.600000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.700000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.800000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.900000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
2.000000,a,0.000000,0.000000,0.000000,0.000000,0.000000,1
2.100000,b,1.000000,0.000000,0.000000,0.250000,0.000000,1
2.200000,b,0.250000,0.000000,0.000000,0.287500,0.000000,1
2.300000,b,0.000000,0.000000,0.000000,0.258750,0.000000,1
2.400000,b,0.000000,0.000000,0.000000,0.232875,0.000000,1
2.500000,b,0.000000,0.000000,0.000000,0.209588,0.000000,1
2.600000,b,0.000000,0.000000,0.000000,0.188629,0.000000,1
2.700000,b,0.000000,0.000000,0.000000,0.169766,0.000000,1
2.800000,b,0.000000,0.000000,0.000000,0.152789,0.000000,1
2.900000,b,0.000000,0.000000,0.000000,0.137510,0.000000,1
3.000000,b,0.000000,0.000000,0.000000,0.123759,0.000000,1
3.100000,b,0.000000,0.000000,0.000000,0.111383,0.000000,1
3.200000,b,0.000000,0.000000,0.000000,0.100245,0.000000,1
3.300000,b,0.000000,0.000000,0.000000,0.090221,0.000000,1
3.400000,b,0.000000,0.000000,0.000000,0.081198,0.000000,1
3.500000,b,0.000000,0.000000,0.000000,0.073079,0.000000,1
3.600000,b,0.000000,0.000000,0.000000,0.065771,0.000000,1
3.700000,b,0.000000,0.000000,0.000000,0.059194,0.000000,1
3.800000,b,0.000000,0.000000,0.000000,0.053274,0.000000,1
3.900000,b,0.000000,0.000000,0.000000,0.047947,0.000000,1
4.000000,b,0.000000,0.000000,0.000000,0.043152,0.000000,1
4.100000,b,0.000000,0.000000,0.000000,0.038837,0.000000,1
4.200000,b,0.000000,0.000000,0.000000,0.034953,0.000000,1
4.300000,b,0.000000,0.000000,0.000000,0.031458,0.000000,1
4.400000,b,0.000000,0.000000,0.000000,0.028312,0.000000,1
4.500000,b,0.000000,0.000000,0.000000,0.025481,0.000000,1
4.600000,b,0.000000,0.000000,0.000000,0.022933,0.000000,1
4.700000,b,0.000000,0.000000,0.000000,0.020640,0.000000,1
4.800000,b,0.000000,0.000000,0.000000,0.018576,0.000000,1
4.900000,b,0.000000,0.000000,0.000000,0.016718,0.000000,1
5.000000,a,0.000000,0.000000,0.000000,0.015046,0.000000,0
5.100000,a,0.000000,0.000000,0.000000,0.013542,0.000000,0
5.200000,a,0.000000,0.000000,0.000000,0.012187,0.000000,0
5.300000,a,0.000000,0.000000,0.000000,0.010969,0.000000,0
5.400000,a,0.000000,0.000000,0.000000,0.009872,0.000000,0
5.500000,a,0.000000,0.000000,0.000000,0.008885,0.000000,0
5.600000,a,0.000000,0.000000,0.000000,0.007996,0.000000,0
5.700000,a,0.000000,0.000000,0.000000,0.007197,0.000000,0
5.800000,a,0.000000,0.000000,0.000000,0.006477,0.000000,0
5.900000,a,0.000000,0.000000,0.000000,0.005829,0.000000,0
6.000000,a,0.000000,0.000000,0.000000,0.005246,0.000000,0
6.100000,a,0.000000,0.000000,0.000000,0.004722,0.000000,0
6.200000,a,0.000000,0.000000,0.000000,0.004250,0.000000,0
6.300000,a,0.000000,0.000000,0.000000,0.003825,0.000000,0
6.400000,a,0.000000,0.000000,0.000000,0.003442,0.000000,0
6.500000,a,0.000000,0.000000,0.000000,0.003098,0.000000,0
6.600000,a,0.000000,0.000000,0.000000,0.002788,0.000000,0
6.700000,a,0.000000,0.000000,0.000000,0.002509,0.000000,0
6.800000,a,0.000000,0.000000,0.000000,0.002258,0.000000,0
6.900000,a,0.000000,0.000000,0.000000,0.002033,0.000000,0
7.000000,a,0.000000,0.000000,0.000000,0.001829,0.000000,1
7.100000,b,1.000000,0.000000,0.000000,0.251646,0.000000,1
7.200000,b,0.200000,0.000000,0.000000,0.276482,0.000000,1
7.300000,b,0.000000,0.000000,0.000000,0.248834,0.000000,1
7.400000,b,0.000000,0.000000,0.000000,0.223950,0.000000,1
7.500000,b,0.000000,0.000000,0.000000,0.201555,0.000000,1
7.600000,b,0.000000,0.000000,0.000000,0.181400,0.000000,1
7.700000,b,0.000000,0.000000,0.000000,0.163260,0.000000,1
7.800000,b,0.000000,0.000000,0.000000,0.146934,0.000000,1
7.900000,b,0.000000,0.000000,0.000000,0.132240,0.000000,1
8.000000,b,0.000000,0.000000,0.000000,0.119016,0.000000,1
8.100000,b,0.000000,0.000000,0.000000,0.107115,0.000000,1
8.200000,b,0.000000,0.000000,0.000000,0.096403,0.000000,1
8.300000,b,0.000000,0.000000,0.000000,0.086763,0.000000,1
8.400000,b,0.000000,0.000000,0.000000,0.078087,0.000000,1
8.500000,b,0.000000,0.000000,0.000000,0.070278,0.000000,1
8.600000,b,0.000000,0.000000,0.000000,0.063250,0.000000,1
8.700000,b,0.000000,0.000000,0.000000,0.056925,0.000000,1
8.800000,b,0.000000,0.000000,0.000000,0.051233,0.000000,1
8.900000,b,0.000000,0.000000,0.000000,0.046109,0.000000,1
9.000000,b,0.000000,0.000000,0.000000,0.041498,0.000000,1
9.100000,b,0.000000,0.000000,0.000000,0.037349,0.000000,1
9.200000,b,0.000000,0.000000,0.000000,0.033614,0.000000,1
9.300000,b,0.000000,0.000000,0.000000,0.030252,0.000000,1
9.400000,b,0.000000,0.000000,0.000000,0.027227,0.000000,1
9.500000,b,0.000000,0.000000,0.000000,0.024504,0.000000,1
9.600000,b,0.000000,0.000000,0.000000,0.022054,0.000000,1
9.700000,b,0.000000,0.000000,0.000000,0.019849,0.000000,1
9.800000,b,0.000000,0.000000,0.000000,0.017864,0.000000,1
9.900000,b,0.000000,0.000000,0.000000,0.016077,0.000000,1
10.000000,a,0.000000,0.000000,0.000000,0.014470,0.000000,0
10.100000,a,0.000000,0.000000,0.000000,0.013023,0.000000,0
10.200000,a,0.000000,0.000000,0.000000,0.011720,0.000000,0
10.300000,a,0.000000,0.000000,0.000000,0.010548,0.000000,0
10.400000,a,0.000000,0.000000,0.000000,0.009494,0.000000,0
10.500000,a,0.000000,0.000000,0.000000,0.008544,0.000000,0
10.600000,a,0.000000,0.000000,0.000000,0.007690,0.000000,0
10.700000,a,0.000000,0.000000,0.000000,0.006921,0.000000,0
10.800000,a,0.000000,0.000000,0.000000,0.006229,0.000000,0
10.900000,a,0.000000,0.000000,0.000000,0.005606,0.000000,0
11.000000,a,0.000000,0.000000,0.000000,0.005045,0.000000,0
11.100000,a,0.000000,0.000000,0.000000,0.004541,0.000000,0
11.200000,a,0.000000,0.000000,0.000000,0.004087,0.000000,0
11.300000,a,0.000000,0.000000,0.000000,0.003678,0.000000,0
11.400000,a,0.000000,0.000000,0.000000,0.003310,0.000000,0
11.500000,a,0.000000,0.000000,0.000000,0.002979,0.000000,0
11.600000,a,0.000000,0.000000,0.000000,0.002681,0.000000,0
11.700000,a,0.000000,0.000000,0.000000,0.002413,0.000000,0
11.800000,a,0.000000,0.000000,0.000000,0.002172,0.000000,0
11.900000,a,0.000000,0.000000,0.000000,0.001955,0.000000,0
12.000000,a,0.000000,0.000000,0.000000,0.001759,0.000000,0
