scenario,method,startup_full_reachability_tick_mean,loop_active_ticks_mean,loop_active_ticks_ci95,loop_active_ticks_worst,loop_episode_count_mean,loop_longest_episode_ticks_mean,loop_longest_episode_ticks_worst,loop_post_active_ticks_mean,loop_post_active_ticks_worst,loop_post_episode_count_mean,loop_longest_post_episode_ticks_mean,loop_longest_post_episode_ticks_worst,blackhole_active_ticks_mean,blackhole_active_ticks_ci95,blackhole_active_ticks_worst,blackhole_episode_count_mean,blackhole_longest_episode_ticks_mean,blackhole_longest_episode_ticks_worst,blackhole_post_active_ticks_mean,blackhole_post_active_ticks_worst,blackhole_post_episode_count_mean,blackhole_longest_post_episode_ticks_mean,blackhole_longest_post_episode_ticks_worst,reachability_gap_active_ticks_mean,reachability_gap_active_ticks_ci95,reachability_gap_active_ticks_worst,reachability_gap_episode_count_mean,reachability_gap_longest_episode_ticks_mean,reachability_gap_longest_episode_ticks_worst,reachability_gap_post_active_ticks_mean,reachability_gap_post_active_ticks_worst,reachability_gap_post_episode_count_mean,reachability_gap_longest_post_episode_ticks_mean,reachability_gap_longest_post_episode_ticks_worst,incomplete_route_active_ticks_mean,incomplete_route_active_ticks_ci95,incomplete_route_active_ticks_worst,incomplete_route_episode_count_mean,incomplete_route_longest_episode_ticks_mean,incomplete_route_longest_episode_ticks_worst,incomplete_route_post_active_ticks_mean,incomplete_route_post_active_ticks_worst,incomplete_route_post_episode_count_mean,incomplete_route_longest_post_episode_ticks_mean,incomplete_route_longest_post_episode_ticks_worst
hotspot_3x,snn_sra,4.0,14.6,8.843923111379928,28.0,1.0,14.4,28.0,0.2,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5182094717133072,4.0,0.4,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.6,8.843923111379928,28.0,1.0,14.4,28.0,0.2,1.0,0.2,0.2,1.0
hotspot_3x,ospf_te,8.8,0.6,1.176,3.0,0.2,0.6,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6198064213930023,2.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.784,2.0,0.4,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.6,1.3293366766925525,4.0,1.0,1.4,3.0,0.0,0.0,0.0,0.0,0.0
hotspot_3x,triggered_te,4.0,35.4,45.12088580690764,113.0,0.4,35.4,113.0,25.2,89.0,0.4,25.2,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,44.76959218040745,113.0,0.4,34.8,113.0,25.2,89.0,0.4,25.2,89.0,35.4,45.12088580690764,113.0,0.4,35.4,113.0,25.2,89.0,0.4,25.2,89.0
hotspot_3x,te_ecmp,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6198064213930023,2.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6198064213930023,2.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0
hotspot_3x,bandit,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.392,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.392,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0
continuous_chaos,snn_sra,4.0,12.2,6.210447970959906,18.0,1.2,11.6,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.392,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,12.2,6.210447970959906,18.0,1.2,11.6,18.0,0.0,0.0,0.0,0.0,0.0
continuous_chaos,ospf_te,8.8,1.8,3.5280000000000005,9.0,0.6,0.6,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6198064213930023,2.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2,2.352,6.0,1.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,2.8,3.582030708969425,10.0,1.4,1.4,3.0,0.0,0.0,0.0,0.0,0.0
continuous_chaos,triggered_te,4.0,42.6,41.20943697746913,105.0,0.8,41.0,105.0,13.6,34.0,0.4,13.6,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,40.97103288910348,105.0,0.4,21.4,105.0,6.8,34.0,0.2,6.8,34.0,42.6,41.20943697746913,105.0,0.8,41.0,105.0,13.6,34.0,0.4,13.6,34.0
continuous_chaos,te_ecmp,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6198064213930023,2.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6198064213930023,2.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0
continuous_chaos,bandit,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.392,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.392,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0
gray_failure,snn_sra,4.0,7.0,5.781169431871029,13.0,0.6,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.781169431871029,13.0,0.6,7.0,13.0,0.0,0.0,0.0,0.0,0.0
gray_failure,ospf_te,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6198064213930023,2.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6198064213930023,2.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0
gray_failure,triggered_te,4.0,14.8,28.520525661354842,73.0,0.4,14.8,73.0,9.8,49.0,0.2,9.8,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,28.615999999999996,73.0,0.2,14.6,73.0,9.8,49.0,0.2,9.8,49.0,14.8,28.520525661354842,73.0,0.4,14.8,73.0,9.8,49.0,0.2,9.8,49.0
gray_failure,te_ecmp,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6198064213930023,2.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6198064213930023,2.0,0.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0
gray_failure,bandit,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.392,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.392,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0
